Date,Inventory_Level
5/11/2017,437797
5/12/2017,430902
5/13/2017,405484
5/14/2017,383561
5/15/2017,378296
5/16/2017,377563
5/17/2017,389053
5/18/2017,394249
5/19/2017,387257
5/20/2017,377634
5/21/2017,372009
5/22/2017,365280
5/23/2017,371074
5/24/2017,377732
5/25/2017,379754
5/26/2017,370875
5/27/2017,394186
5/28/2017,404413
5/29/2017,389073
5/30/2017,397229
5/31/2017,399189
6/1/2017,392844
6/2/2017,394970
6/3/2017,400304
6/4/2017,410826
6/5/2017,413039
6/6/2017,403562
6/7/2017,399191
6/8/2017,408434
6/9/2017,433184
6/10/2017,428679
6/11/2017,423409
6/12/2017,413183
6/13/2017,405831
6/14/2017,392640
6/15/2017,407799
6/16/2017,400429
6/17/2017,401628
6/18/2017,418564
6/19/2017,423683
6/20/2017,412524
6/21/2017,405480
6/22/2017,394772
6/23/2017,365590
6/24/2017,377558
6/25/2017,372545
6/26/2017,363321
6/27/2017,345618
6/28/2017,335659
6/29/2017,329628
6/30/2017,332858
7/1/2017,321666
7/2/2017,319054
7/3/2017,315802
7/4/2017,310003
7/5/2017,329696
7/6/2017,335369
7/7/2017,339878
7/8/2017,339683
7/9/2017,356825
7/10/2017,370966
7/11/2017,352183
7/12/2017,356301
7/13/2017,355626
7/14/2017,351367
7/15/2017,352693
7/16/2017,346354
7/17/2017,351904
7/18/2017,355523
7/19/2017,336706
7/20/2017,318853
7/21/2017,318538
7/22/2017,312995
7/23/2017,333576
7/24/2017,329898
7/25/2017,314526
7/26/2017,324945
7/27/2017,335887
7/28/2017,344283
7/29/2017,337247
7/30/2017,331093
7/31/2017,339971
8/1/2017,357810
8/2/2017,358119
8/3/2017,357044
8/4/2017,376045
8/5/2017,375879
8/6/2017,402966
8/7/2017,418121
8/8/2017,424365
8/9/2017,436015
8/10/2017,438287
8/11/2017,439412
8/12/2017,442898
8/13/2017,459862
8/14/2017,460124
8/15/2017,449075
8/16/2017,446308
8/17/2017,426523
8/18/2017,442947
8/19/2017,432148
8/20/2017,434099
8/21/2017,445596
8/22/2017,446964
8/23/2017,443040
8/24/2017,443420
8/25/2017,456252
8/26/2017,448526
8/27/2017,460693
8/28/2017,468003
8/29/2017,474095
8/30/2017,464045
8/31/2017,465900
9/1/2017,460396
9/2/2017,469187
9/3/2017,462176
9/4/2017,469661
9/5/2017,468699
9/6/2017,475388
9/7/2017,464108
9/8/2017,474168
9/9/2017,482481
9/10/2017,498543
9/11/2017,506421
9/12/2017,509476
9/13/2017,489419
9/14/2017,481982
9/15/2017,464632
9/16/2017,465497
9/17/2017,468007
9/18/2017,470637
9/19/2017,468092
9/20/2017,442338
9/21/2017,430342
9/22/2017,409848
9/23/2017,398082
9/24/2017,385572
9/25/2017,382128
9/26/2017,407288
9/27/2017,417909
9/28/2017,411730
9/29/2017,415536
9/30/2017,391002
10/1/2017,401509
10/2/2017,392596
10/3/2017,377118
10/4/2017,380605
10/5/2017,369078
10/6/2017,364514
10/7/2017,351837
10/8/2017,362923
10/9/2017,370462
10/10/2017,370788
10/11/2017,371004
10/12/2017,387621
10/13/2017,386396
10/14/2017,401070
10/15/2017,385612
10/16/2017,372004
10/17/2017,389611
10/18/2017,385629
10/19/2017,386883
10/20/2017,391706
10/21/2017,383789
10/22/2017,380977
10/23/2017,394367
10/24/2017,402660
10/25/2017,393498
10/26/2017,395004
10/27/2017,397991
10/28/2017,400737
10/29/2017,403510
10/30/2017,407486
10/31/2017,410342
11/1/2017,400655
11/2/2017,401385
11/3/2017,392970
11/4/2017,399343
11/5/2017,403592
11/6/2017,363681
11/7/2017,351336
11/8/2017,359582
11/9/2017,363260
11/10/2017,369759
11/11/2017,391484
11/12/2017,409060
11/13/2017,399353
11/14/2017,395064
11/15/2017,404937
11/16/2017,409256
11/17/2017,405133
11/18/2017,398123
11/19/2017,398676
11/20/2017,386101
11/21/2017,391870
11/22/2017,370778
11/23/2017,367836
11/24/2017,366655
11/25/2017,370654
11/26/2017,391571
11/27/2017,400188
11/28/2017,432613
11/29/2017,446812
11/30/2017,474427
12/1/2017,480405
12/2/2017,479516
12/3/2017,497038
12/4/2017,481771
12/5/2017,475985
12/6/2017,465901
12/7/2017,460385
12/8/2017,442711
12/9/2017,445022
12/10/2017,469637
12/11/2017,444337
12/12/2017,468821
12/13/2017,460749
12/14/2017,480301
12/15/2017,471533
12/16/2017,485343
12/17/2017,499485
12/18/2017,510048
12/19/2017,531323
12/20/2017,527692
12/21/2017,547760
12/22/2017,546946
12/23/2017,553577
12/24/2017,535228
12/25/2017,543780
12/26/2017,542757
12/27/2017,542183
12/28/2017,533055
12/29/2017,517288
12/30/2017,520111
12/31/2017,519567
1/1/2018,538219
1/2/2018,532782
1/3/2018,539753
1/4/2018,546283
1/5/2018,532611
1/6/2018,557517
1/7/2018,573111
1/8/2018,602069
1/9/2018,605556
1/10/2018,603948
1/11/2018,603650
1/12/2018,601088
1/13/2018,616770
1/14/2018,620921
1/15/2018,593580
1/16/2018,567585
1/17/2018,579961
1/18/2018,570773
1/19/2018,605086
1/20/2018,621181
1/21/2018,639592
1/22/2018,647718
1/23/2018,667112
1/24/2018,669039
1/25/2018,673138
1/26/2018,657054
1/27/2018,667043
1/28/2018,687887
1/29/2018,681856
1/30/2018,698663
1/31/2018,696123
2/1/2018,673403
2/2/2018,690692
2/3/2018,670189
2/4/2018,640532
2/5/2018,616308
2/6/2018,635712
2/7/2018,625483
2/8/2018,627303
2/9/2018,612212
2/10/2018,596301
2/11/2018,584815
2/12/2018,582013
2/13/2018,582231
2/14/2018,578944
2/15/2018,578473
2/16/2018,590243
2/17/2018,600438
2/18/2018,605590
2/19/2018,581242
2/20/2018,578329
2/21/2018,572153
2/22/2018,570819
2/23/2018,584748
2/24/2018,580540
2/25/2018,563824
2/26/2018,567370
2/27/2018,572729
2/28/2018,552886
3/1/2018,545915
3/2/2018,529293
3/3/2018,524326
3/4/2018,548399
3/5/2018,561868
3/6/2018,568640
3/7/2018,543710
3/8/2018,539829
3/9/2018,527202
3/10/2018,552181
3/11/2018,551971
3/12/2018,529272
3/13/2018,529845
3/14/2018,538510
3/15/2018,550121
3/16/2018,529019
3/17/2018,531910
3/18/2018,528976
3/19/2018,508527
3/20/2018,482056
3/21/2018,483373
3/22/2018,473584
3/23/2018,472363
3/24/2018,480943
3/25/2018,492457
3/26/2018,502330
3/27/2018,497867
3/28/2018,509492
3/29/2018,489710
3/30/2018,506271
3/31/2018,516652
4/1/2018,488628
4/2/2018,489480
4/3/2018,502263
4/4/2018,504035
4/5/2018,502187
4/6/2018,515257
4/7/2018,527712
4/8/2018,526984
4/9/2018,519694
4/10/2018,535604
4/11/2018,532251
4/12/2018,531790
4/13/2018,545509
4/14/2018,542899
4/15/2018,539839
4/16/2018,552078
4/17/2018,554919
4/18/2018,564510
4/19/2018,564019
4/20/2018,574981
4/21/2018,563561
4/22/2018,577921
4/23/2018,570928
4/24/2018,602707
4/25/2018,607548
4/26/2018,620309
4/27/2018,622325
4/28/2018,643253
4/29/2018,640335
4/30/2018,652722
5/1/2018,638651
5/2/2018,619451
5/3/2018,602230
5/4/2018,586690
5/5/2018,594601
5/6/2018,590646
5/7/2018,576023
5/8/2018,572064
5/9/2018,592280
5/10/2018,583499
5/11/2018,591947
5/12/2018,575131
5/13/2018,549635
5/14/2018,515196
5/15/2018,514501
5/16/2018,524143
5/17/2018,525516
5/18/2018,519133
5/19/2018,499440
5/20/2018,502472
5/21/2018,510924
5/22/2018,514259
5/23/2018,520131
5/24/2018,528631
5/25/2018,524335
5/26/2018,523978
5/27/2018,529797
5/28/2018,512621
5/29/2018,526797
5/30/2018,534059
5/31/2018,549018
6/1/2018,530729
6/2/2018,519584
6/3/2018,504310
6/4/2018,506771
6/5/2018,509383
6/6/2018,519527
6/7/2018,514271
6/8/2018,520917
6/9/2018,508266
6/10/2018,495333
6/11/2018,501137
6/12/2018,508981
6/13/2018,505093
6/14/2018,509617
6/15/2018,514937
6/16/2018,487325
6/17/2018,494972
6/18/2018,491482
6/19/2018,476603
6/20/2018,480832
6/21/2018,466623
6/22/2018,462821
6/23/2018,422190
6/24/2018,410175
6/25/2018,404905
6/26/2018,413754
6/27/2018,417044
6/28/2018,403339
6/29/2018,402369
6/30/2018,412324
7/1/2018,412890
7/2/2018,409153
7/3/2018,434499
7/4/2018,439307
7/5/2018,454290
7/6/2018,473355
7/7/2018,444473
7/8/2018,446248
7/9/2018,459179
7/10/2018,462722
7/11/2018,465916
7/12/2018,479803
7/13/2018,478840
7/14/2018,471497
7/15/2018,491673
7/16/2018,495211
7/17/2018,473542
7/18/2018,478965
7/19/2018,481699
7/20/2018,493583
7/21/2018,508705
7/22/2018,510238
7/23/2018,506098
7/24/2018,516661
7/25/2018,503147
7/26/2018,504012
7/27/2018,502758
7/28/2018,521055
7/29/2018,507996
7/30/2018,512898
7/31/2018,504922
8/1/2018,501938
8/2/2018,496305
8/3/2018,482212
8/4/2018,483445
8/5/2018,481467
8/6/2018,498484
8/7/2018,498758
8/8/2018,493910
8/9/2018,495590
8/10/2018,495580
8/11/2018,523123
8/12/2018,523945
8/13/2018,534654
8/14/2018,529148
8/15/2018,545574
8/16/2018,553059
8/17/2018,561448
8/18/2018,565886
8/19/2018,543210
8/20/2018,524806
8/21/2018,517351
8/22/2018,518141
8/23/2018,550569
8/24/2018,561474
8/25/2018,577678
8/26/2018,562540
8/27/2018,553946
8/28/2018,541974
8/29/2018,550914
8/30/2018,546358
8/31/2018,549224
9/1/2018,553174
9/2/2018,561079
9/3/2018,562324
9/4/2018,534510
9/5/2018,520242
9/6/2018,517512
9/7/2018,488702
9/8/2018,482086
9/9/2018,479863
9/10/2018,490768
9/11/2018,498040
9/12/2018,511733
9/13/2018,504907
9/14/2018,504521
9/15/2018,516885
9/16/2018,516546
9/17/2018,529794
9/18/2018,527492
9/19/2018,534015
9/20/2018,519668
9/21/2018,522517
9/22/2018,522246
9/23/2018,521420
9/24/2018,516678
9/25/2018,507522
9/26/2018,527782
9/27/2018,524806
9/28/2018,549219
9/29/2018,548519
9/30/2018,533254
10/1/2018,539525
10/2/2018,552997
10/3/2018,545683
10/4/2018,520567
10/5/2018,531477
10/6/2018,513571
10/7/2018,514089
10/8/2018,522485
10/9/2018,529280
10/10/2018,525566
10/11/2018,522787
10/12/2018,512067
10/13/2018,502616
10/14/2018,507633
10/15/2018,494903
10/16/2018,478877
10/17/2018,496241
10/18/2018,499232
10/19/2018,475640
10/20/2018,478492
10/21/2018,488441
10/22/2018,496914
10/23/2018,503446
10/24/2018,510294
10/25/2018,509403
10/26/2018,511036
10/27/2018,510533
10/28/2018,532554
10/29/2018,536336
10/30/2018,551583
10/31/2018,561690
11/1/2018,584189
11/2/2018,579405
11/3/2018,569431
11/4/2018,554569
11/5/2018,575042
11/6/2018,562081
11/7/2018,566707
11/8/2018,562655
11/9/2018,562776
11/10/2018,588020
11/11/2018,586027
11/12/2018,595708
11/13/2018,597935
11/14/2018,579058
11/15/2018,595070
11/16/2018,607531
11/17/2018,600472
11/18/2018,593739
11/19/2018,585256
11/20/2018,575706
11/21/2018,576022
11/22/2018,584892
11/23/2018,567405
11/24/2018,565728
11/25/2018,575594
11/26/2018,585788
11/27/2018,573731
11/28/2018,579495
11/29/2018,597244
11/30/2018,601882
12/1/2018,630755
12/2/2018,619021
12/3/2018,623019
12/4/2018,625468
12/5/2018,628485
12/6/2018,640081
12/7/2018,644402
12/8/2018,652500
12/9/2018,689610
12/10/2018,714998
12/11/2018,726935
12/12/2018,738444
12/13/2018,743052
12/14/2018,750773
12/15/2018,774915
12/16/2018,781781
12/17/2018,793879
12/18/2018,796181
12/19/2018,810340
12/20/2018,831022
12/21/2018,832586
12/22/2018,847823
12/23/2018,834005
12/24/2018,826875
12/25/2018,836205
12/26/2018,823878
12/27/2018,831601
12/28/2018,838379
12/29/2018,817432
12/30/2018,806904
12/31/2018,776298
1/1/2019,780303
1/2/2019,786722
1/3/2019,793735
1/4/2019,752065
1/5/2019,776184
1/6/2019,752946
1/7/2019,752704
1/8/2019,732262
1/9/2019,732635
1/10/2019,733896
1/11/2019,723660
1/12/2019,704215
1/13/2019,690442
1/14/2019,681598
1/15/2019,697852
1/16/2019,739167
1/17/2019,735497
1/18/2019,745742
1/19/2019,726918
1/20/2019,718398
1/21/2019,693622
1/22/2019,688921
1/23/2019,680815
1/24/2019,684502
1/25/2019,654288
1/26/2019,670469
1/27/2019,680585
1/28/2019,684113
1/29/2019,675719
1/30/2019,670720
1/31/2019,689434
2/1/2019,701758
2/2/2019,716410
2/3/2019,694236
2/4/2019,687928
2/5/2019,692614
2/6/2019,702834
2/7/2019,675277
2/8/2019,669889
2/9/2019,683193
2/10/2019,682005
2/11/2019,664477
2/12/2019,661034
2/13/2019,639629
2/14/2019,625546
2/15/2019,627602
2/16/2019,605449
2/17/2019,579167
2/18/2019,563579
2/19/2019,551599
2/20/2019,587048
2/21/2019,579908
2/22/2019,591332
2/23/2019,599828
2/24/2019,590230
2/25/2019,572985
2/26/2019,560838
2/27/2019,548556
2/28/2019,552302
3/1/2019,542571
3/2/2019,537905
3/3/2019,540250
3/4/2019,531934
3/5/2019,545450
3/6/2019,556496
3/7/2019,548773
3/8/2019,551852
3/9/2019,554386
3/10/2019,555318
3/11/2019,549428
3/12/2019,550633
3/13/2019,543928
3/14/2019,534866
3/15/2019,562576
3/16/2019,582298
3/17/2019,576049
3/18/2019,578223
3/19/2019,580105
3/20/2019,591020
3/21/2019,578945
3/22/2019,570276
3/23/2019,561713
3/24/2019,576810
3/25/2019,585404
3/26/2019,600797
3/27/2019,585682
3/28/2019,587833
3/29/2019,601889
3/30/2019,569890
3/31/2019,564151
4/1/2019,575026
4/2/2019,587117
4/3/2019,583535
4/4/2019,591492
4/5/2019,575296
4/6/2019,571131
4/7/2019,589360
4/8/2019,604398
4/9/2019,609815
4/10/2019,602150
4/11/2019,596814
4/12/2019,572189
4/13/2019,565355
4/14/2019,563535
4/15/2019,571745
4/16/2019,566152
4/17/2019,569334
4/18/2019,572736
4/19/2019,578358
4/20/2019,558624
4/21/2019,574384
4/22/2019,548374
4/23/2019,565833
4/24/2019,583439
4/25/2019,564809
4/26/2019,562666
4/27/2019,568083
4/28/2019,561443
4/29/2019,555283
4/30/2019,553545
5/1/2019,552068
5/2/2019,569648
5/3/2019,595765
5/4/2019,596693
5/5/2019,606641
5/6/2019,607482
5/7/2019,630159
5/8/2019,638652
5/9/2019,670425
5/10/2019,680746
5/11/2019,649454
5/12/2019,646654
5/13/2019,638312
5/14/2019,639285
5/15/2019,628279
5/16/2019,623743
5/17/2019,591459
5/18/2019,609382
5/19/2019,615268
5/20/2019,609277
5/21/2019,615296
5/22/2019,612435
5/23/2019,605797
5/24/2019,582258
5/25/2019,569005
5/26/2019,554523
5/27/2019,541814
5/28/2019,525039
5/29/2019,541922
5/30/2019,560003
5/31/2019,563741
6/1/2019,558786
6/2/2019,568496
6/3/2019,571217
6/4/2019,559626
6/5/2019,568349
6/6/2019,553817
6/7/2019,549120
6/8/2019,554396
6/9/2019,558256
6/10/2019,536885
6/11/2019,508511
6/12/2019,511053
6/13/2019,495649
6/14/2019,469551
6/15/2019,484098
6/16/2019,490086
6/17/2019,512251
6/18/2019,516959
6/19/2019,514772
6/20/2019,517850
6/21/2019,520233
6/22/2019,518534
6/23/2019,520290
6/24/2019,513814
6/25/2019,535427
6/26/2019,526345
6/27/2019,526165
6/28/2019,518822
6/29/2019,535730
6/30/2019,520302
7/1/2019,538690
7/2/2019,526970
7/3/2019,520154
7/4/2019,516489
7/5/2019,510518
7/6/2019,510394
7/7/2019,522871
7/8/2019,528372
7/9/2019,541436
7/10/2019,554753
7/11/2019,552995
7/12/2019,553166
7/13/2019,545224
7/14/2019,530605
7/15/2019,515558
7/16/2019,518899
7/17/2019,532125
7/18/2019,537073
7/19/2019,547803
7/20/2019,549404
7/21/2019,536112
7/22/2019,523460
7/23/2019,526665
7/24/2019,530354
7/25/2019,543138
7/26/2019,563314
7/27/2019,555998
7/28/2019,553579
7/29/2019,555398
7/30/2019,549087
7/31/2019,528861
8/1/2019,533029
8/2/2019,536621
8/3/2019,544900
8/4/2019,546788
8/5/2019,563811
8/6/2019,557043
8/7/2019,540241
8/8/2019,560729
8/9/2019,551075
8/10/2019,548170
8/11/2019,527116
8/12/2019,530170
8/13/2019,523366
8/14/2019,546794
8/15/2019,543471
8/16/2019,557825
8/17/2019,581955
8/18/2019,601221
8/19/2019,582020
8/20/2019,589746
8/21/2019,593514
8/22/2019,571567
8/23/2019,589533
8/24/2019,596764
8/25/2019,608468
8/26/2019,635758
8/27/2019,670092
8/28/2019,667732
8/29/2019,682790
8/30/2019,697133
8/31/2019,718575
9/1/2019,701047
9/2/2019,668703
9/3/2019,654095
9/4/2019,685540
9/5/2019,658710
9/6/2019,641733
9/7/2019,633069
9/8/2019,640948
9/9/2019,649246
9/10/2019,622160
9/11/2019,619132
9/12/2019,596728
9/13/2019,592887
9/14/2019,576813
9/15/2019,578391
9/16/2019,563890
9/17/2019,538435
9/18/2019,542950
9/19/2019,522471
9/20/2019,502049
9/21/2019,488007
9/22/2019,505102
9/23/2019,509416
9/24/2019,513755
9/25/2019,524868
9/26/2019,527926
9/27/2019,502236
9/28/2019,496707
9/29/2019,501770
9/30/2019,504331
10/1/2019,521218
10/2/2019,521243
10/3/2019,529616
10/4/2019,531170
10/5/2019,528791
10/6/2019,525166
10/7/2019,550580
10/8/2019,573994
10/9/2019,576758
10/10/2019,581573
10/11/2019,585798
10/12/2019,589440
10/13/2019,600793
10/14/2019,593393
10/15/2019,605726
10/16/2019,596973
10/17/2019,594223
10/18/2019,578968
10/19/2019,572263
10/20/2019,584658
10/21/2019,548842
10/22/2019,550664
10/23/2019,538150
10/24/2019,534537
10/25/2019,552669
10/26/2019,573439
10/27/2019,575430
10/28/2019,581785
10/29/2019,574982
10/30/2019,585612
10/31/2019,580070
11/1/2019,582617
11/2/2019,563548
11/3/2019,572841
11/4/2019,566516
11/5/2019,546949
11/6/2019,576995
11/7/2019,581599
11/8/2019,576609
11/9/2019,592289
11/10/2019,583795
11/11/2019,576198
11/12/2019,593281
11/13/2019,560297
11/14/2019,571342
11/15/2019,574085
11/16/2019,564722
11/17/2019,588893
11/18/2019,589547
11/19/2019,612023
11/20/2019,609251
11/21/2019,632635
11/22/2019,638018
11/23/2019,645362
11/24/2019,645025
11/25/2019,634215
11/26/2019,612117
11/27/2019,606342
11/28/2019,598458
11/29/2019,616219
11/30/2019,640019
12/1/2019,648833
12/2/2019,671602
12/3/2019,674589
12/4/2019,676773
12/5/2019,675153
12/6/2019,675510
12/7/2019,679092
12/8/2019,652357
12/9/2019,628510
12/10/2019,647269
12/11/2019,639694
12/12/2019,636625
12/13/2019,636915
12/14/2019,622297
12/15/2019,641109
12/16/2019,630165
12/17/2019,642873
12/18/2019,650269
12/19/2019,605221
12/20/2019,627429
12/21/2019,612861
12/22/2019,632471
12/23/2019,644661
12/24/2019,647427
12/25/2019,646753
12/26/2019,652895
12/27/2019,656695
12/28/2019,656986
12/29/2019,667456
12/30/2019,653075
12/31/2019,650229
1/1/2020,646134
1/2/2020,657187
1/3/2020,649443
1/4/2020,642610
1/5/2020,661152
1/6/2020,685585
1/7/2020,672339
1/8/2020,658836
1/9/2020,650997
1/10/2020,640089
1/11/2020,631473
1/12/2020,644903
1/13/2020,664431
1/14/2020,696472
1/15/2020,726490
1/16/2020,741758
1/17/2020,743504
1/18/2020,736569
1/19/2020,781366
1/20/2020,798904
1/21/2020,788624
1/22/2020,789268
1/23/2020,777851
1/24/2020,796363
1/25/2020,791939
1/26/2020,792260
1/27/2020,757595
1/28/2020,750210
1/29/2020,738200
1/30/2020,737336
1/31/2020,759234
2/1/2020,756370
2/2/2020,732577
2/3/2020,735067
2/4/2020,755131
2/5/2020,760867
2/6/2020,760339
2/7/2020,759120
2/8/2020,767581
2/9/2020,763365
2/10/2020,743455
2/11/2020,737599
2/12/2020,721725
2/13/2020,735938
2/14/2020,726832
2/15/2020,708320
2/16/2020,707525
2/17/2020,685247
2/18/2020,695944
2/19/2020,691613
2/20/2020,671075
2/21/2020,651760
2/22/2020,650646
2/23/2020,635235
2/24/2020,648139
2/25/2020,642493
2/26/2020,628874
2/27/2020,633865
2/28/2020,650255
2/29/2020,672429
3/1/2020,644734
3/2/2020,635075
3/3/2020,646282
3/4/2020,662453
3/5/2020,653943
3/6/2020,664479
3/7/2020,679112
3/8/2020,660664
3/9/2020,648792
3/10/2020,682492
3/11/2020,698333
3/12/2020,684415
3/13/2020,688998
3/14/2020,686134
3/15/2020,669991
3/16/2020,657904
3/17/2020,670404
3/18/2020,667659
3/19/2020,639432
3/20/2020,658331
3/21/2020,641442
3/22/2020,647861
3/23/2020,648817
3/24/2020,654391
3/25/2020,672395
3/26/2020,668653
3/27/2020,650665
3/28/2020,639882
3/29/2020,628323
3/30/2020,640763
3/31/2020,608517
4/1/2020,602093
4/2/2020,612654
4/3/2020,620969
4/4/2020,610434
4/5/2020,626812
4/6/2020,613864
4/7/2020,604230
4/8/2020,608573
4/9/2020,632238
4/10/2020,621321
4/11/2020,628468
4/12/2020,633146
4/13/2020,614513
4/14/2020,639562
4/15/2020,624088
4/16/2020,616276
4/17/2020,612836
4/18/2020,615374
4/19/2020,613086
4/20/2020,613787
4/21/2020,621969
4/22/2020,621030
4/23/2020,619342
4/24/2020,615220
4/25/2020,633709
4/26/2020,660409
4/27/2020,666194
4/28/2020,659199
4/29/2020,644158
4/30/2020,690963
5/1/2020,696539
5/2/2020,688927
5/3/2020,684054
5/4/2020,672635
5/5/2020,669790
5/6/2020,649276
5/7/2020,648775
5/8/2020,648840
5/9/2020,646902
5/10/2020,651019
5/11/2020,664246
5/12/2020,675882
5/13/2020,673408
5/14/2020,663621
5/15/2020,643384
5/16/2020,638775
5/17/2020,641422
5/18/2020,646710
5/19/2020,621546
5/20/2020,602870
5/21/2020,597542
5/22/2020,594871
5/23/2020,583997
5/24/2020,564221
5/25/2020,568765
5/26/2020,572894
5/27/2020,575169
5/28/2020,563316
5/29/2020,558505
5/30/2020,563923
5/31/2020,563183
6/1/2020,555163
6/2/2020,547519
6/3/2020,564763
6/4/2020,566688
6/5/2020,555212
6/6/2020,562117
6/7/2020,573324
6/8/2020,576627
6/9/2020,561705
6/10/2020,561625
6/11/2020,557295
6/12/2020,548684
6/13/2020,567539
6/14/2020,576976
6/15/2020,559404
6/16/2020,530953
6/17/2020,511612
6/18/2020,512295
6/19/2020,506899
6/20/2020,494320
6/21/2020,488667
6/22/2020,503827
6/23/2020,500815
6/24/2020,513005
6/25/2020,494123
6/26/2020,485281
6/27/2020,478577
6/28/2020,483802
6/29/2020,484873
6/30/2020,474907
7/1/2020,472134
7/2/2020,477471
7/3/2020,474643
7/4/2020,476516
7/5/2020,473184
7/6/2020,473283
7/7/2020,487559
7/8/2020,478738
7/9/2020,505893
7/10/2020,515999
7/11/2020,507774
7/12/2020,509388
7/13/2020,527615
7/14/2020,515198
7/15/2020,515234
7/16/2020,538002
7/17/2020,539888
7/18/2020,540259
7/19/2020,550818
7/20/2020,541187
7/21/2020,553539
7/22/2020,538786
7/23/2020,542409
7/24/2020,553385
7/25/2020,543316
7/26/2020,538218
7/27/2020,506306
7/28/2020,496355
7/29/2020,500386
7/30/2020,509089
7/31/2020,488056
8/1/2020,514658
8/2/2020,552662
8/3/2020,550962
8/4/2020,577704
8/5/2020,610624
8/6/2020,605811
8/7/2020,612213
8/8/2020,583236
8/9/2020,569120
8/10/2020,537635
8/11/2020,551050
8/12/2020,566718
8/13/2020,625693
8/14/2020,657004
8/15/2020,661570
8/16/2020,672992
8/17/2020,654808
8/18/2020,667568
8/19/2020,683320
8/20/2020,657922
8/21/2020,660005
8/22/2020,671334
8/23/2020,680492
8/24/2020,673421
8/25/2020,661509
8/26/2020,665989
8/27/2020,681986
8/28/2020,676860
8/29/2020,670374
8/30/2020,681896
8/31/2020,674783
9/1/2020,683437
9/2/2020,664764
9/3/2020,681167
9/4/2020,688453
9/5/2020,674611
9/6/2020,688741
9/7/2020,671881
9/8/2020,663056
9/9/2020,676959
9/10/2020,698385
9/11/2020,675687
9/12/2020,691354
9/13/2020,720005
9/14/2020,738479
9/15/2020,726559
9/16/2020,719975
9/17/2020,731134
9/18/2020,720536
9/19/2020,727447
9/20/2020,735983
9/21/2020,741521
9/22/2020,745429
9/23/2020,721171
9/24/2020,752421
9/25/2020,736245
9/26/2020,727500
9/27/2020,740809
9/28/2020,732116
9/29/2020,701421
9/30/2020,702129
10/1/2020,691988
10/2/2020,673880
10/3/2020,647883
10/4/2020,645309
10/5/2020,668338
10/6/2020,663612
10/7/2020,643523
10/8/2020,633658
10/9/2020,612271
10/10/2020,623066
10/11/2020,619989
10/12/2020,626154
10/13/2020,604450
10/14/2020,608257
10/15/2020,623080
10/16/2020,612638
10/17/2020,611928
10/18/2020,621877
10/19/2020,612480
10/20/2020,614679
10/21/2020,602581
10/22/2020,606270
10/23/2020,578757
10/24/2020,574631
10/25/2020,570707
10/26/2020,575966
10/27/2020,579028
10/28/2020,570233
