Date,Vendor,Quantity,Product_Type,Category,Brand,Grade,Size,Warehouse,Vendor_Address,GIK_Per_Unit,Total_GIK
1/10/2023,Everything Else,2195,Apparel,Shirts,Brand A,Gently Used,XL,Atlanta,"1 Fictional St, Everything Else City, State 01",2.81,6167.95
1/10/2023,Everything Else,2915,Apparel,Coats,Brand A,Gently Used,L,Chicago,"1 Fictional St, Everything Else City, State 01",0.63,1836.45
1/10/2023,Everything Else,4370,Footwear,Sneakers,Brand A,Gently Used,5,Nashville,"1 Fictional St, Everything Else City, State 01",0.53,2316.1
1/10/2023,Company 5,5942,Footwear,Sneakers,Brand C,Gently Used,8,Nashville,"6 Fictional St, Company 5 City, State 06",228.09,1355310.78
1/10/2023,Everything Else,3801,Footwear,Sneakers,Brand C,Worn,6,Nashville,"1 Fictional St, Everything Else City, State 01",0.07,266.07
1/10/2023,Everything Else,1551,Apparel,Coats,Brand C,Gently Used,L,LA,"1 Fictional St, Everything Else City, State 01",0.72,1116.72
1/10/2023,Company 15,2790,Footwear,Sneakers,Brand C,Gently Used,9,Chicago,"16 Fictional St, Company 15 City, State 16",0.45,1255.5
1/10/2023,Everything Else,1477,Footwear,Sneakers,Brand C,Gently Used,6,Atlanta,"1 Fictional St, Everything Else City, State 01",3.71,5479.67
1/10/2023,Everything Else,1419,Footwear,Sneakers,Brand C,Gently Used,10,Nashville,"1 Fictional St, Everything Else City, State 01",11.81,16758.39
1/10/2023,Everything Else,1461,Footwear,Boots,Brand C,Gently Used,12,Chicago,"1 Fictional St, Everything Else City, State 01",0.01,14.61
1/10/2023,Everything Else,1610,Apparel,Coats,Brand C,Gently Used,XXL,Nashville,"1 Fictional St, Everything Else City, State 01",5.94,9563.4
1/10/2023,Company 3,1763,Apparel,Shirts,Brand B,Gently Used,XL,LA,"4 Fictional St, Company 3 City, State 04",0.26,458.38
1/10/2023,Company 10,4069,Footwear,Sneakers,Brand A,Gently Used,10,Nashville,"11 Fictional St, Company 10 City, State 11",6.58,26774.02
1/10/2023,Company 3,1524,Footwear,Sneakers,Brand C,Gently Used,10,Atlanta,"4 Fictional St, Company 3 City, State 04",0.57,868.68
1/10/2023,Company 2,1204,Footwear,Sneakers,Brand C,New,11,Atlanta,"3 Fictional St, Company 2 City, State 03",13.06,15724.24
1/10/2023,Everything Else,1812,Footwear,Sneakers,Generic,Gently Used,12,Chicago,"1 Fictional St, Everything Else City, State 01",1.25,2265
1/10/2023,Everything Else,4718,Apparel,Coats,Brand C,New,L,NY,"1 Fictional St, Everything Else City, State 01",0.21,990.78
1/11/2023,Company 4,3191,Footwear,Sneakers,Brand A,New,12,NY,"5 Fictional St, Company 4 City, State 05",31.7,101154.7
1/11/2023,Everything Else,1188,Footwear,Boots,Brand C,Gently Used,11,Chicago,"1 Fictional St, Everything Else City, State 01",51.71,61431.48
1/11/2023,Company 14,2527,Apparel,Shirts,Brand A,Gently Used,L,Atlanta,"15 Fictional St, Company 14 City, State 15",5.78,14606.06
1/11/2023,Everything Else,4923,Footwear,Sneakers,Brand A,Gently Used,7,LA,"1 Fictional St, Everything Else City, State 01",5.42,26682.66
1/11/2023,Company 12,3070,Footwear,Sneakers,Brand A,Gently Used,9,LA,"13 Fictional St, Company 12 City, State 13",14.27,43808.9
1/11/2023,Company 9,2052,Footwear,Sneakers,Generic,New,6,Chicago,"10 Fictional St, Company 9 City, State 10",98.12,201342.24
1/11/2023,Everything Else,6273,Footwear,Sneakers,Brand B,Gently Used,7,Atlanta,"1 Fictional St, Everything Else City, State 01",7.35,46106.55
1/11/2023,Everything Else,3343,Apparel,Coats,Brand B,Gently Used,S,NY,"1 Fictional St, Everything Else City, State 01",1.73,5783.39
1/11/2023,Everything Else,5531,Footwear,Boots,Brand A,Gently Used,6,Nashville,"1 Fictional St, Everything Else City, State 01",4.02,22234.62
1/11/2023,Everything Else,2850,Footwear,Sneakers,Brand C,New,11,Nashville,"1 Fictional St, Everything Else City, State 01",213.61,608788.5
1/11/2023,Everything Else,2749,Footwear,Boots,Brand A,Gently Used,8,LA,"1 Fictional St, Everything Else City, State 01",0.24,659.76
1/11/2023,Company 8,3066,Footwear,Sneakers,Generic,Gently Used,9,Nashville,"9 Fictional St, Company 8 City, State 09",3.64,11160.24
1/11/2023,Company 13,1512,Apparel,Coats,Brand A,Gently Used,XXL,Atlanta,"14 Fictional St, Company 13 City, State 14",0.69,1043.28
1/11/2023,Company 3,1272,Footwear,Sneakers,Brand B,New,6,Chicago,"4 Fictional St, Company 3 City, State 04",2.5,3180
1/11/2023,Everything Else,4305,Apparel,Coats,Brand C,Gently Used,S,NY,"1 Fictional St, Everything Else City, State 01",35.8,154119
1/11/2023,Company 4,2077,Footwear,Sneakers,Brand C,New,6,Chicago,"5 Fictional St, Company 4 City, State 05",6,12462
1/12/2023,Everything Else,5909,Footwear,Boots,Generic,New,5,LA,"1 Fictional St, Everything Else City, State 01",1.36,8036.24
1/12/2023,Everything Else,1233,Apparel,Shirts,Brand A,Worn,L,LA,"1 Fictional St, Everything Else City, State 01",1.39,1713.87
1/12/2023,Company 4,959,Footwear,Boots,Brand C,Gently Used,6,Chicago,"5 Fictional St, Company 4 City, State 05",0.38,364.42
1/12/2023,Everything Else,1525,Footwear,Boots,Brand A,Gently Used,6,Atlanta,"1 Fictional St, Everything Else City, State 01",2.52,3843
1/12/2023,Company 3,2317,Footwear,Sneakers,Brand B,Gently Used,12,Atlanta,"4 Fictional St, Company 3 City, State 04",2.21,5120.57
1/12/2023,Company 4,2103,Footwear,Boots,Brand B,Gently Used,9,LA,"5 Fictional St, Company 4 City, State 05",9.63,20251.89
1/12/2023,Company 1,2505,Footwear,Boots,Brand B,Gently Used,11,Chicago,"2 Fictional St, Company 1 City, State 02",615.71,1542353.55
1/12/2023,Company 14,1543,Footwear,Sneakers,Brand A,Worn,5,Chicago,"15 Fictional St, Company 14 City, State 15",1.78,2746.54
1/12/2023,Everything Else,2949,Footwear,Sneakers,Brand C,Gently Used,12,NY,"1 Fictional St, Everything Else City, State 01",5.34,15747.66
1/12/2023,Everything Else,4768,Apparel,Coats,Brand A,Gently Used,S,Nashville,"1 Fictional St, Everything Else City, State 01",24.39,116291.52
1/12/2023,Company 3,4599,Footwear,Sneakers,Generic,Gently Used,9,NY,"4 Fictional St, Company 3 City, State 04",0.04,183.96
1/12/2023,Everything Else,933,Footwear,Sneakers,Brand B,Gently Used,7,Chicago,"1 Fictional St, Everything Else City, State 01",20.45,19079.85
1/12/2023,Everything Else,1878,Footwear,Boots,Brand C,Gently Used,8,Nashville,"1 Fictional St, Everything Else City, State 01",103.44,194260.32
1/12/2023,Everything Else,1894,Apparel,Shirts,Generic,Gently Used,XL,Atlanta,"1 Fictional St, Everything Else City, State 01",422.71,800612.74
1/12/2023,Company 7,3728,Footwear,Sneakers,Brand B,Worn,6,NY,"8 Fictional St, Company 7 City, State 08",1.96,7306.88
1/12/2023,Everything Else,3702,Apparel,Coats,Brand C,Gently Used,L,NY,"1 Fictional St, Everything Else City, State 01",3.44,12734.88
1/12/2023,Company 10,2632,Apparel,Coats,Brand A,New,S,NY,"11 Fictional St, Company 10 City, State 11",0.16,421.12
1/12/2023,Company 15,4310,Apparel,Coats,Brand C,New,S,Nashville,"16 Fictional St, Company 15 City, State 16",10.41,44867.1
1/12/2023,Company 2,2506,Apparel,Shirts,Brand B,Gently Used,L,Chicago,"3 Fictional St, Company 2 City, State 03",1.1,2756.6
1/13/2023,Everything Else,2448,Footwear,Sneakers,Brand C,Gently Used,6,Atlanta,"1 Fictional St, Everything Else City, State 01",1083.28,2651869.44
1/13/2023,Company 3,1410,Footwear,Boots,Brand B,Gently Used,5,NY,"4 Fictional St, Company 3 City, State 04",33.8,47658
1/13/2023,Everything Else,1967,Footwear,Sneakers,Brand C,New,6,Atlanta,"1 Fictional St, Everything Else City, State 01",222.56,437775.52
1/13/2023,Company 4,4918,Footwear,Sneakers,Brand C,Gently Used,5,Nashville,"5 Fictional St, Company 4 City, State 05",42.79,210441.22
1/13/2023,Everything Else,3395,Footwear,Sneakers,Generic,Gently Used,9,Atlanta,"1 Fictional St, Everything Else City, State 01",0.52,1765.4
1/13/2023,Everything Else,3551,Apparel,Shirts,Brand A,Gently Used,M,NY,"1 Fictional St, Everything Else City, State 01",1847.15,6559229.65
1/13/2023,Company 3,4141,Footwear,Sneakers,Brand C,New,5,Atlanta,"4 Fictional St, Company 3 City, State 04",9.09,37641.69
1/13/2023,Everything Else,3581,Footwear,Sneakers,Brand C,New,6,NY,"1 Fictional St, Everything Else City, State 01",0.44,1575.64
1/13/2023,Everything Else,2157,Apparel,Shirts,Generic,Gently Used,XXL,Chicago,"1 Fictional St, Everything Else City, State 01",25.84,55736.88
1/13/2023,Company 5,2389,Footwear,Sneakers,Brand A,Worn,9,Nashville,"6 Fictional St, Company 5 City, State 06",5646.08,13488485.12
