Date,Quantity,Product_Type,Category,Brand,Grade,Size,Warehouse,GIK_Per_Unit,Total_GIK,Partner,EI_Per_Unit,Total_EI,Partner_Address,Shipment_Type,Program
1/21/2017,1469,Footwear,Sneakers,Generic,Gently Used,6,NY,84.27,123792.63,Company A,0,0,"1 Partner Blvd, Company A Town, Region 01",Micro-Enterprise,Winter
2/3/2017,2952,Apparel,Shirts,Brand C,Gently Used,L,Atlanta,0.95,2804.4,Company I,1.08,3188.16,"10 Partner Blvd, Company I Town, Region 10",Micro-Enterprise,School
1/17/2017,1197,Apparel,Coats,Generic,Gently Used,S,Nashville,0.47,562.59,Company C,10.29,12317.13,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
1/26/2017,2251,Footwear,Sneakers,Brand B,Gently Used,11,Chicago,2.26,5087.26,Company H,8.11,18255.61,"9 Partner Blvd, Company H Town, Region 09",Micro-Enterprise,School
2/6/2017,1506,Apparel,Shirts,Generic,Gently Used,L,Atlanta,0.18,271.08,Company E,13.87,20888.22,"5 Partner Blvd, Company E Town, Region 05",Relief,School
2/6/2017,2549,Apparel,Coats,Brand A,Gently Used,M,Chicago,5.87,14962.63,Company H,9.35,23833.15,"9 Partner Blvd, Company H Town, Region 09",Relief,School
2/6/2017,2203,Footwear,Sneakers,Generic,Gently Used,9,Nashville,0.46,1013.38,Company E,11.03,24299.09,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,General
1/23/2017,3683,Footwear,Sneakers,Brand C,Gently Used,7,LA,2.76,10165.08,Company E,14.12,52003.96,"5 Partner Blvd, Company E Town, Region 05",Relief,School
1/26/2017,2845,Footwear,Sneakers,Generic,Gently Used,10,Atlanta,1.21,3442.45,Company D,6.33,18008.85,"4 Partner Blvd, Company D Town, Region 04",Micro-Enterprise,Winter
2/3/2017,1931,Footwear,Sneakers,Brand C,New,5,NY,2.8,5406.8,Company C,4.6,8882.6,"3 Partner Blvd, Company C Town, Region 03",Relief,Winter
2/5/2017,1616,Apparel,Shirts,Brand C,Gently Used,XL,Atlanta,0.48,775.68,Company I,2.47,3991.52,"10 Partner Blvd, Company I Town, Region 10",Micro-Enterprise,General
1/23/2017,1877,Footwear,Sneakers,Brand A,Gently Used,5,Chicago,1.48,2777.96,Company E,14.6,27404.2,"5 Partner Blvd, Company E Town, Region 05",Relief,School
2/6/2017,2265,Footwear,Sneakers,Brand C,Gently Used,6,Chicago,1.12,2536.8,Company C,8.43,19093.95,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
2/3/2017,2195,Footwear,Sneakers,Generic,Gently Used,11,NY,534.64,1173534.8,Company C,7.78,17077.1,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/28/2017,602,Footwear,Sneakers,Brand C,Gently Used,11,Atlanta,15.42,9282.84,Company E,13.45,8096.9,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,Winter
1/17/2017,4145,Footwear,Sneakers,Generic,Worn,5,Chicago,2.79,11564.55,Everything Else,0.75,3108.75,"7 Partner Blvd, Everything Else Town, Region 07",Relief,School
2/4/2017,2247,Footwear,Sneakers,Brand C,Gently Used,10,Atlanta,27.77,62399.19,Company A,1.16,2606.52,"1 Partner Blvd, Company A Town, Region 01",Relief,General
2/8/2017,1967,Footwear,Sneakers,Generic,Gently Used,5,Nashville,0.51,1003.17,Company A,0,0,"1 Partner Blvd, Company A Town, Region 01",Micro-Enterprise,School
1/17/2017,3517,Footwear,Boots,Brand C,New,11,Atlanta,31.88,112121.96,Company C,10.21,35908.57,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
2/3/2017,3367,Footwear,Sneakers,Brand A,Gently Used,6,NY,25.72,86599.24,Company H,9,30303,"9 Partner Blvd, Company H Town, Region 09",Relief,Winter
1/27/2017,3812,Apparel,Coats,Brand C,New,S,Nashville,3792.38,14456552.56,Company E,12.05,45934.6,"5 Partner Blvd, Company E Town, Region 05",Micro-Enterprise,General
1/31/2017,3305,Footwear,Sneakers,Generic,Gently Used,8,LA,40.87,135075.35,Company I,0.41,1355.05,"10 Partner Blvd, Company I Town, Region 10",Micro-Enterprise,General
1/27/2017,2782,Apparel,Shirts,Generic,Gently Used,S,NY,3.35,9319.7,Company J,6.67,18555.94,"11 Partner Blvd, Company J Town, Region 11",Micro-Enterprise,General
1/19/2017,2159,Footwear,Sneakers,Brand A,Gently Used,9,LA,13.68,29535.12,Company K,5,10795,"12 Partner Blvd, Company K Town, Region 12",Relief,School
2/9/2017,2368,Apparel,Shirts,Brand A,Gently Used,L,NY,380.56,901166.08,Company H,10.62,25148.16,"9 Partner Blvd, Company H Town, Region 09",Micro-Enterprise,General
1/27/2017,1920,Footwear,Boots,Brand B,Gently Used,6,Atlanta,7.86,15091.2,Company C,11.23,21561.6,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,General
2/2/2017,2179,Footwear,Sneakers,Brand C,Gently Used,7,Atlanta,965.51,2103846.29,Company C,8.43,18368.97,"3 Partner Blvd, Company C Town, Region 03",Relief,General
2/5/2017,1006,Footwear,Boots,Generic,Gently Used,5,Nashville,59.16,59514.96,Company B,3.43,3450.58,"2 Partner Blvd, Company B Town, Region 02",Relief,General
1/18/2017,982,Footwear,Sneakers,Brand B,Gently Used,12,NY,8.58,8425.56,Company C,10.55,10360.1,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,School
1/26/2017,2704,Footwear,Sneakers,Brand C,New,10,Atlanta,701.58,1897072.32,Company F,3.72,10058.88,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,General
2/1/2017,3436,Footwear,Sneakers,Brand A,Gently Used,8,Atlanta,0,0,Company F,3.4,11682.4,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,Winter
1/24/2017,5411,Footwear,Sneakers,Brand A,Gently Used,6,LA,41.79,226125.69,Company E,17.92,96965.12,"5 Partner Blvd, Company E Town, Region 05",Relief,School
1/24/2017,2757,Apparel,Shirts,Generic,New,S,Atlanta,3.1,8546.7,Everything Else,1.87,5155.59,"7 Partner Blvd, Everything Else Town, Region 07",Relief,General
1/27/2017,1525,Apparel,Coats,Brand B,New,M,LA,12.87,19626.75,Company K,10.11,15417.75,"12 Partner Blvd, Company K Town, Region 12",Relief,General
1/30/2017,2877,Footwear,Sneakers,Brand A,Gently Used,12,Atlanta,119.01,342391.77,Company C,7.68,22095.36,"3 Partner Blvd, Company C Town, Region 03",Relief,School
2/6/2017,1003,Footwear,Sneakers,Brand C,Gently Used,12,LA,1.08,1083.24,Company F,4.86,4874.58,"6 Partner Blvd, Company F Town, Region 06",Relief,Winter
2/5/2017,2870,Footwear,Boots,Brand C,Gently Used,5,Atlanta,664.32,1906598.4,Company E,10.16,29159.2,"5 Partner Blvd, Company E Town, Region 05",Relief,Winter
1/26/2017,5049,Footwear,Sneakers,Brand C,Gently Used,8,LA,64.04,323337.96,Company C,11.32,57154.68,"3 Partner Blvd, Company C Town, Region 03",Relief,General
1/27/2017,1427,Footwear,Sneakers,Brand A,Gently Used,12,Nashville,319.91,456511.57,Company H,9.67,13799.09,"9 Partner Blvd, Company H Town, Region 09",Micro-Enterprise,General
1/28/2017,1160,Footwear,Sneakers,Brand A,Gently Used,5,Atlanta,3.25,3770,Company J,6.79,7876.4,"11 Partner Blvd, Company J Town, Region 11",Relief,Winter
2/6/2017,2689,Footwear,Sneakers,Generic,Worn,9,LA,189.65,509968.85,Company B,1.76,4732.64,"2 Partner Blvd, Company B Town, Region 02",Micro-Enterprise,General
1/30/2017,2892,Footwear,Sneakers,Brand C,Gently Used,5,LA,3.46,10006.32,Company C,9.2,26606.4,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
2/1/2017,4436,Apparel,Coats,Brand C,Gently Used,M,Atlanta,4.92,21825.12,Company C,12.83,56913.88,"3 Partner Blvd, Company C Town, Region 03",Relief,General
1/22/2017,1735,Footwear,Sneakers,Brand A,Gently Used,10,LA,0.02,34.7,Company C,6.5,11277.5,"3 Partner Blvd, Company C Town, Region 03",Micro-Enterprise,Winter
1/27/2017,1964,Footwear,Sneakers,Generic,Gently Used,6,LA,5.62,11037.68,Company E,16.84,33073.76,"5 Partner Blvd, Company E Town, Region 05",Relief,School
2/10/2017,2817,Footwear,Sneakers,Generic,Gently Used,9,Nashville,0.69,1943.73,Company E,16.74,47156.58,"5 Partner Blvd, Company E Town, Region 05",Relief,General
1/20/2017,2571,Footwear,Boots,Brand B,Gently Used,8,LA,247.81,637119.51,Everything Else,1.78,4576.38,"7 Partner Blvd, Everything Else Town, Region 07",Relief,General
1/24/2017,2642,Footwear,Sneakers,Brand A,Gently Used,7,Atlanta,1568.84,4144875.28,Company F,3.53,9326.26,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,School
2/10/2017,2282,Apparel,Shirts,Brand A,Worn,M,NY,14.67,33476.94,Company C,9.1,20766.2,"3 Partner Blvd, Company C Town, Region 03",Relief,General
1/30/2017,2057,Footwear,Sneakers,Generic,New,9,Atlanta,1.58,3250.06,Company F,2.26,4648.82,"6 Partner Blvd, Company F Town, Region 06",Micro-Enterprise,General
1/26/2017,2580,Footwear,Sneakers,Generic,New,9,LA,5.36,13828.8,Company E,10.22,26367.6,"5 Partner Blvd, Company E Town, Region 05",Relief,School
2/9/2017,1197,Footwear,Sneakers,Brand C,Gently Used,12,Chicago,106.67,127683.99,Company C,7.88,9432.36,"3 Partner Blvd, Company C Town, Region 03",Relief,General
