,,Atlanta,Atlanta,Atlanta,Atlanta,Chicago,Chicago,Chicago,Chicago,Nashville,Nashville,Nashville,Nashville,LA,LA,LA,LA,NY,NY,NY,NY
Tue,2/14/2017,7910,9410,-1500,90455,4623,12725,-8102,122398,6299,798,5501,81477,1104,2508,-1404,130019,2088,5309,-3221,101426
Wed,2/15/2017,10253,7883,2370,92825,1371,11632,-10261,112137,4128,7283,-3155,78322,4129,3602,527,130546,19387,3253,16134,117560
Thu,2/16/2017,10195,6792,3403,96228,5948,4671,1277,113414,10902,4704,6198,84520,4440,2557,1883,132429,10375,10762,-387,117173
Fri,2/17/2017,7077,4499,2578,98806,5292,2123,3169,116583,1525,1800,-275,84245,5660,8322,-2662,129767,5682,10613,-4931,112242
Sat,2/18/2017,15235,3389,11846,110652,7188,0,7188,123771,0,8127,-8127,76118,1109,16197,-15088,114679,4471,6534,-2063,110179
Sun,2/19/2017,0,0,0,110652,0,7160,-7160,116611,3584,4060,-476,75642,5286,2349,2937,117616,1266,0,1266,111445
Mon,2/20/2017,6777,7811,-1034,109618,10495,6490,4005,120616,5111,7626,-2515,73127,0,10260,-10260,107356,16649,7743,8906,120351
Tue,2/21/2017,2883,7423,-4540,105078,2828,14204,-11376,109240,12728,5757,6971,80098,10998,5348,5650,113006,5789,3063,2726,123077
Wed,2/22/2017,5720,4377,1343,106421,4619,4317,302,109542,2491,0,2491,82589,0,3781,-3781,109225,11927,7234,4693,127770
Thu,2/23/2017,0,2251,-2251,104170,4414,4479,-65,109477,6127,1662,4465,87054,1163,3731,-2568,106657,10196,13965,-3769,124001
Fri,2/24/2017,0,9757,-9757,94413,7167,6540,627,110104,0,0,0,87054,8698,17465,-8767,97890,3422,8864,-5442,118559
Sat,2/25/2017,8178,9599,-1421,92992,7922,2329,5593,115697,1784,0,1784,88838,6337,12679,-6342,91548,5906,0,5906,124465
Sun,2/26/2017,5437,3965,1472,94464,3919,17436,-13517,102180,9098,6224,2874,91712,0,7105,-7105,84443,11934,2959,8975,133440
Mon,2/27/2017,2173,934,1239,95703,1499,12200,-10701,91479,2742,3323,-581,91131,0,1783,-1783,82660,15200,11904,3296,136736
Tue,2/28/2017,4749,11104,-6355,89348,3343,6213,-2870,88609,2783,10161,-7378,83753,2312,4027,-1715,80945,10790,6827,3963,140699
Wed,3/1/2017,4995,5618,-623,88725,4312,7884,-3572,85037,7234,4080,3154,86907,13819,0,13819,94764,12345,0,12345,153044
Thu,3/2/2017,12195,6179,6016,94741,3425,8374,-4949,80088,3137,11258,-8121,78786,0,1279,-1279,93485,0,3421,-3421,149623
Fri,3/3/2017,0,4885,-4885,89856,1028,4968,-3940,76148,0,3713,-3713,75073,1573,3543,-1970,91515,248,3757,-3509,146114
Sat,3/4/2017,5532,0,5532,95388,2427,2476,-49,76099,0,7680,-7680,67393,0,4419,-4419,87096,10294,14616,-4322,141792
Sun,3/5/2017,7357,11200,-3843,91545,0,3146,-3146,72953,0,4259,-4259,63134,4374,8002,-3628,83468,1901,8478,-6577,135215
Mon,3/6/2017,2846,2883,-37,91508,5843,1636,4207,77160,0,4719,-4719,58415,0,5964,-5964,77504,0,2451,-2451,132764
Tue,3/7/2017,9349,2549,6800,98308,1321,4981,-3660,73500,2186,3616,-1430,56985,12829,5182,7647,85151,0,8719,-8719,124045
Wed,3/8/2017,7777,5882,1895,100203,3823,1624,2199,75699,8479,1069,7410,64395,3245,13822,-10577,74574,999,16474,-15475,108570
Thu,3/9/2017,0,4104,-4104,96099,8719,7162,1557,77256,2234,7776,-5542,58853,699,9923,-9224,65350,0,8002,-8002,100568
Fri,3/10/2017,5880,2054,3826,99925,8122,4100,4022,81278,6660,0,6660,65513,5383,1346,4037,69387,906,2007,-1101,99467
Sat,3/11/2017,3372,7063,-3691,96234,15966,4357,11609,92887,1994,0,1994,67507,0,3669,-3669,65718,6372,3310,3062,102529
Sun,3/12/2017,1679,21930,-20251,75983,6389,0,6389,99276,4367,5269,-902,66605,0,4804,-4804,60914,2487,5558,-3071,99458
Mon,3/13/2017,2586,0,2586,78569,2177,8680,-6503,92773,7865,0,7865,74470,2698,6781,-4083,56831,7473,9651,-2178,97280
Tue,3/14/2017,0,9006,-9006,69563,4684,10505,-5821,86952,2617,6520,-3903,70567,3706,4440,-734,56097,6311,13120,-6809,90471
Wed,3/15/2017,0,3017,-3017,66546,5812,4831,981,87933,5789,14370,-8581,61986,1501,4157,-2656,53441,2296,5017,-2721,87750
Thu,3/16/2017,9263,0,9263,75809,2269,7714,-5445,82488,4402,2234,2168,64154,2946,1502,1444,54885,12649,11471,1178,88928
Fri,3/17/2017,2121,5467,-3346,72463,3412,7829,-4417,78071,10130,3604,6526,70680,2515,0,2515,57400,1812,0,1812,90740
Sat,3/18/2017,0,6219,-6219,66244,9327,8124,1203,79274,4299,2732,1567,72247,5497,5815,-318,57082,9745,9079,666,91406
Sun,3/19/2017,4743,5943,-1200,65044,9611,4696,4915,84189,5119,2869,2250,74497,933,0,933,58015,8362,2731,5631,97037
Mon,3/20/2017,1912,6023,-4111,60933,6668,0,6668,90857,12007,2015,9992,84489,4070,0,4070,62085,987,3959,-2972,94065
Tue,3/21/2017,1970,3827,-1857,59076,0,0,0,90857,7657,1408,6249,90738,5032,4818,214,62299,3440,0,3440,97505
Wed,3/22/2017,7861,2335,5526,64602,5147,5096,51,90908,6506,11856,-5350,85388,10946,16477,-5531,56768,2687,12963,-10276,87229
Thu,3/23/2017,2654,4663,-2009,62593,1580,2632,-1052,89856,6312,0,6312,91700,4352,0,4352,61120,8001,5330,2671,89900
Fri,3/24/2017,15357,7906,7451,70044,3378,4312,-934,88922,1055,0,1055,92755,9499,6087,3412,64532,11870,2589,9281,99181
Sat,3/25/2017,4193,11230,-7037,63007,0,5160,-5160,83762,0,772,-772,91983,8677,5383,3294,67826,1064,10654,-9590,89591
Sun,3/26/2017,6002,0,6002,69009,6999,1028,5971,89733,0,0,0,91983,8150,0,8150,75976,5549,2331,3218,92809
Mon,3/27/2017,2685,2441,244,69253,6333,6574,-241,89492,0,2218,-2218,89765,2805,933,1872,77848,6872,0,6872,99681
Tue,3/28/2017,10509,0,10509,79762,8568,0,8568,98060,7281,3082,4199,93964,12395,4576,7819,85667,1169,3230,-2061,97620
Wed,3/29/2017,7391,4758,2633,82395,4954,2468,2486,100546,7276,9985,-2709,91255,2561,1292,1269,86936,11099,7198,3901,101521
Thu,3/30/2017,0,6988,-6988,75407,8386,8094,292,100838,2583,1366,1217,92472,1874,699,1175,88111,12297,12072,225,101746
Fri,3/31/2017,3482,2586,896,76303,3799,7703,-3904,96934,8823,0,8823,101295,6331,4108,2223,90334,7930,3312,4618,106364
Sat,4/1/2017,0,4258,-4258,72045,0,4540,-4540,92394,10997,15661,-4664,96631,12463,0,12463,102797,13754,16037,-2283,104081
Sun,4/2/2017,2206,3825,-1619,70426,989,3823,-2834,89560,4356,8286,-3930,92701,1845,2946,-1101,101696,7276,0,7276,111357
Mon,4/3/2017,0,0,0,70426,7892,0,7892,97452,2127,14548,-12421,80280,1358,17887,-16529,85167,5293,1861,3432,114789
Tue,4/4/2017,1644,5108,-3464,66962,10241,8827,1414,98866,3885,7833,-3948,76332,4444,0,4444,89611,1604,8229,-6625,108164
Wed,4/5/2017,7140,0,7140,74102,1656,7442,-5786,93080,4201,3067,1134,77466,3453,2857,596,90207,2143,2402,-259,107905
Thu,4/6/2017,3009,3631,-622,73480,6149,7085,-936,92144,7570,2467,5103,82569,0,5121,-5121,85086,7289,4212,3077,110982
Fri,4/7/2017,4708,0,4708,78188,4750,9856,-5106,87038,4937,6079,-1142,81427,0,11427,-11427,73659,11608,11073,535,111517
Sat,4/8/2017,3336,3378,-42,78146,8385,1626,6759,93797,5880,6687,-807,80620,1238,12793,-11555,62104,0,14702,-14702,96815
Sun,4/9/2017,2676,3800,-1124,77022,4417,8922,-4505,89292,5954,2382,3572,84192,7139,1900,5239,67343,0,5338,-5338,91477
Mon,4/10/2017,3033,0,3033,80055,0,849,-849,88443,4480,4356,124,84316,2721,1501,1220,68563,0,14430,-14430,77047
Tue,4/11/2017,1606,2685,-1079,78976,6802,0,6802,95245,0,3778,-3778,80538,3379,2287,1092,69655,4102,2553,1549,78596
Wed,4/12/2017,6007,0,6007,84983,0,8274,-8274,86971,1352,5445,-4093,76445,2184,3670,-1486,68169,4812,1097,3715,82311
Thu,4/13/2017,9387,7002,2385,87368,4624,0,4624,91595,3194,4480,-1286,75159,4667,8193,-3526,64643,1278,7533,-6255,76056
Fri,4/14/2017,8840,4301,4539,91907,5582,1656,3926,95521,1574,0,1574,76733,7228,6226,1002,65645,5651,5589,62,76118
Sat,4/15/2017,20762,6569,14193,106100,6889,8400,-1511,94010,5372,1084,4288,81021,2461,7162,-4701,60944,1751,6340,-4589,71529
Sun,4/16/2017,5714,1169,4545,110645,3365,6576,-3211,90799,1138,7923,-6785,74236,5020,4695,325,61269,13455,1324,12131,83660
Mon,4/17/2017,12369,3573,8796,119441,13865,0,13865,104664,2181,4419,-2238,71998,7562,6098,1464,62733,0,3733,-3733,79927
Tue,4/18/2017,9571,11711,-2140,117301,5706,2854,2852,107516,3991,8093,-4102,67896,8119,0,8119,70852,15708,1169,14539,94466
Wed,4/19/2017,4421,4573,-152,117149,1579,3622,-2043,105473,10683,11269,-586,67310,14478,6694,7784,78636,3676,8444,-4768,89698
Thu,4/20/2017,1284,6621,-5337,111812,4279,0,4279,109752,3717,0,3717,71027,3969,8715,-4746,73890,8952,7682,1270,90968
Fri,4/21/2017,18985,4741,14244,126056,5651,1862,3789,113541,0,5327,-5327,65700,7262,0,7262,81152,4802,0,4802,95770
Sat,4/22/2017,0,11405,-11405,114651,2718,2178,540,114081,0,1970,-1970,63730,4328,4452,-124,81028,6258,6343,-85,95685
Sun,4/23/2017,824,2476,-1652,112999,3600,13437,-9837,104244,3909,4204,-295,63435,7530,2005,5525,86553,1699,0,1699,97384
Mon,4/24/2017,4364,13558,-9194,103805,3166,2788,378,104622,14078,0,14078,77513,9877,1845,8032,94585,10036,10661,-625,96759
Tue,4/25/2017,2700,11422,-8722,95083,4332,3799,533,105155,10008,4682,5326,82839,9898,4064,5834,100419,11013,3073,7940,104699
Wed,4/26/2017,10061,6992,3069,98152,8783,8958,-175,104980,3073,5471,-2398,80441,0,4908,-4908,95511,10477,8212,2265,106964
Thu,4/27/2017,0,0,0,98152,2978,5043,-2065,102915,4912,6022,-1110,79331,4392,1906,2486,97997,0,519,-519,106445
Fri,4/28/2017,2068,2453,-385,97767,2855,0,2855,105770,1215,2731,-1516,77815,4132,4172,-40,97957,0,8876,-8876,97569
Sat,4/29/2017,0,5250,-5250,92517,1776,7394,-5618,100152,0,0,0,77815,0,6105,-6105,91852,2171,4175,-2004,95565
Sun,4/30/2017,797,13518,-12721,79796,11829,9473,2356,102508,7602,0,7602,85417,7005,5429,1576,93428,4505,3218,1287,96852
Mon,5/1/2017,0,3364,-3364,76432,0,23226,-23226,79282,3441,1574,1867,87284,0,3667,-3667,89761,6125,0,6125,102977
Tue,5/2/2017,9597,0,9597,86029,0,5909,-5909,73373,3720,8268,-4548,82736,2085,2759,-674,89087,6801,5068,1733,104710
Wed,5/3/2017,5482,3725,1757,87786,6569,4602,1967,75340,7715,8447,-732,82004,10619,5253,5366,94453,7136,3915,3221,107931
Thu,5/4/2017,4643,6667,-2024,85762,4131,2678,1453,76793,0,0,0,82004,6986,4277,2709,97162,3692,2390,1302,109233
Fri,5/5/2017,1234,5566,-4332,81430,2672,12009,-9337,67456,1984,9565,-7581,74423,1833,6849,-5016,92146,4465,7151,-2686,106547
Sat,5/6/2017,10492,0,10492,91922,9456,3540,5916,73372,7260,4906,2354,76777,13383,2702,10681,102827,2608,5589,-2981,103566
Sun,5/7/2017,4174,10598,-6424,85498,557,1789,-1232,72140,6731,2256,4475,81252,9640,3969,5671,108498,0,12796,-12796,90770
Mon,5/8/2017,1802,1910,-108,85390,13215,4872,8343,80483,0,3073,-3073,78179,4221,0,4221,112719,1973,6631,-4658,86112
Tue,5/9/2017,2046,0,2046,87436,5329,3037,2292,82775,6489,4149,2340,80519,0,6938,-6938,105781,15153,4498,10655,96767
Wed,5/10/2017,905,10895,-9990,77446,0,11023,-11023,71752,6001,6392,-391,80128,1220,2402,-1182,104599,5860,5438,422,97189
Thu,5/11/2017,1793,4675,-2882,74564,2252,4445,-2193,69559,7346,3138,4208,84336,3167,7354,-4187,100412,1624,5207,-3583,93606
Fri,5/12/2017,0,4730,-4730,69834,2157,1776,381,69940,4782,3581,1201,85537,1782,4132,-2350,98062,4282,5956,-1674,91932
Sat,5/13/2017,5284,12589,-7305,62529,0,2672,-2672,67268,1320,5852,-4532,81005,5244,8471,-3227,94835,1728,6162,-4434,87498
Sun,5/14/2017,3568,13028,-9460,53069,5596,8186,-2590,64678,9011,4096,4915,85920,3582,13311,-9729,85106,3922,10648,-6726,80772
Mon,5/15/2017,4665,5362,-697,52372,1791,5677,-3886,60792,3308,2042,1266,87186,11652,8901,2751,87857,1214,5327,-4113,76659
Tue,5/16/2017,10160,1637,8523,60895,1777,2198,-421,60371,3194,1415,1779,88965,0,1691,-1691,86166,1346,10459,-9113,67546
Wed,5/17/2017,0,1959,-1959,58936,9495,7321,2174,62545,1223,0,1223,90188,5024,2234,2790,88956,9626,2881,6745,74291
Thu,5/18/2017,1964,0,1964,60900,1915,2999,-1084,61461,6721,6385,336,90524,7543,0,7543,96499,1654,2925,-1271,73020
Fri,5/19/2017,853,3683,-2830,58070,6190,1826,4364,65825,9615,3863,5752,96276,1092,11700,-10608,85891,1010,2008,-998,72022
Sat,5/20/2017,0,1793,-1793,56277,2409,0,2409,68234,3553,1269,2284,98560,1868,3491,-1623,84268,0,11786,-11786,60236
Sun,5/21/2017,2402,6081,-3679,52598,7298,2605,4693,72927,1028,0,1028,99588,1904,4027,-2123,82145,3096,6987,-3891,56345
Mon,5/22/2017,3102,2973,129,52727,1569,4647,-3078,69849,1919,13256,-11337,88251,4593,1823,2770,84915,8188,2171,6017,62362
Tue,5/23/2017,3050,6386,-3336,49391,1464,0,1464,71313,9369,3324,6045,94296,13331,10190,3141,88056,2722,2136,586,62948
Wed,5/24/2017,835,1802,-967,48424,8546,1717,6829,78142,5429,6075,-646,93650,6301,1687,4614,92670,0,1757,-1757,61191
Thu,5/25/2017,4125,5614,-1489,46935,909,6098,-5189,72953,5299,6468,-1169,92481,4435,1959,2476,95146,4783,0,4783,65974
Fri,5/26/2017,1174,2280,-1106,45829,3507,7780,-4273,68680,2696,10435,-7739,84742,3539,0,3539,98685,2851,3284,-433,65541
Sat,5/27/2017,0,4518,-4518,41311,8671,3129,5542,74222,5994,0,5994,90736,7630,1766,5864,104549,10790,0,10790,76331
Sun,5/28/2017,11161,12559,-1398,39913,9289,4770,4519,78741,7297,4007,3290,94026,2186,3526,-1340,103209,4369,4125,244,76575
Mon,5/29/2017,3602,2648,954,40867,9044,5252,3792,82533,1445,3450,-2005,92021,7962,17055,-9093,94116,4197,7201,-3004,73571
Tue,5/30/2017,0,5448,-5448,35419,4771,0,4771,87304,8447,6714,1733,93754,4495,4012,483,94599,6822,3543,3279,76850
Wed,5/31/2017,4304,0,4304,39723,9534,0,9534,96838,9705,9871,-166,93588,0,6991,-6991,87608,1601,7074,-5473,71377
Thu,6/1/2017,10283,1260,9023,48746,0,8675,-8675,88163,3533,2405,1128,94716,3006,13695,-10689,76919,5032,4790,242,71619
Fri,6/2/2017,0,0,0,48746,6767,6226,541,88704,0,4023,-4023,90693,8082,2823,5259,82178,2956,3538,-582,71037
Sat,6/3/2017,2132,0,2132,50878,10759,2983,7776,96480,0,14699,-14699,75994,3084,1665,1419,83597,13010,4028,8982,80019
Sun,6/4/2017,9809,5506,4303,55181,4052,5203,-1151,95329,2554,4334,-1780,74214,7559,4916,2643,86240,8641,3053,5588,85607
Mon,6/5/2017,0,0,0,55181,10478,3179,7299,102628,0,1933,-1933,72281,2760,4256,-1496,84744,0,786,-786,84821
Tue,6/6/2017,1630,3513,-1883,53298,3608,5425,-1817,100811,8017,7692,325,72606,0,2300,-2300,82444,0,5034,-5034,79787
Wed,6/7/2017,0,1615,-1615,51683,8110,1754,6356,107167,7427,4356,3071,75677,2163,8426,-6263,76181,0,4282,-4282,75505
Thu,6/8/2017,5634,1174,4460,56143,0,1131,-1131,106036,9631,7864,1767,77444,0,2431,-2431,73750,7856,2090,5766,81271
Fri,6/9/2017,5465,0,5465,61608,7301,1344,5957,111993,6411,0,6411,83855,8668,1487,7181,80931,2856,1772,1084,82355
Sat,6/10/2017,2485,7785,-5300,56308,1431,909,522,112515,2701,9056,-6355,77500,8997,10498,-1501,79430,4869,0,4869,87224
Sun,6/11/2017,4566,5164,-598,55710,0,3138,-3138,109377,5668,7889,-2221,75279,0,3485,-3485,75945,2552,1343,1209,88433
Mon,6/12/2017,3014,7816,-4802,50908,0,1915,-1915,107462,2176,1914,262,75541,5002,1643,3359,79304,4005,12959,-8954,79479
Tue,6/13/2017,2989,0,2989,53897,7768,10997,-3229,104233,3373,6665,-3292,72249,3981,7683,-3702,75602,1790,5670,-3880,75599
Wed,6/14/2017,4908,4596,312,54209,6457,10201,-3744,100489,0,7291,-7291,64958,4587,4704,-117,75485,0,3097,-3097,72502
Thu,6/15/2017,9607,0,9607,63816,8474,7088,1386,101875,0,0,0,64958,2161,2713,-552,74933,5893,2904,2989,75491
Fri,6/16/2017,8820,4417,4403,68219,7045,16861,-9816,92059,8966,1594,7372,72330,5831,11097,-5266,69667,1248,2215,-967,74524
Sat,6/17/2017,1746,0,1746,69965,0,1431,-1431,90628,3457,4120,-663,71667,1361,0,1361,71028,2734,992,1742,76266
Sun,6/18/2017,1059,4325,-3266,66699,11946,0,11946,102574,6408,0,6408,78075,1139,1020,119,71147,2790,0,2790,79056
Mon,6/19/2017,0,3280,-3280,63419,11362,7414,3948,106522,12952,2176,10776,88851,4379,0,4379,75526,0,9218,-9218,69838
Tue,6/20/2017,0,0,0,63419,9114,0,9114,115636,1687,16084,-14397,74454,4089,5743,-1654,73872,721,5927,-5206,64632
Wed,6/21/2017,4519,4866,-347,63072,1693,2875,-1182,114454,2234,0,2234,76688,0,3162,-3162,70710,0,4519,-4519,60113
Thu,6/22/2017,4449,6926,-2477,60595,1710,7530,-5820,108634,2151,713,1438,78126,7516,11298,-3782,66928,2067,5032,-2965,57148
Fri,6/23/2017,0,7072,-7072,53523,1836,3285,-1449,107185,1421,0,1421,79547,0,15452,-15452,51476,6913,11770,-4857,52291
Sat,6/24/2017,3750,0,3750,57273,0,5095,-5095,102090,5714,10224,-4510,75037,15492,0,15492,66968,5857,3158,2699,54990
Sun,6/25/2017,7583,3449,4134,61407,0,2293,-2293,99797,2567,6081,-3514,71523,2362,1986,376,67344,1519,3463,-1944,53046
Mon,6/26/2017,1850,3055,-1205,60202,2225,16340,-14115,85682,6306,2216,4090,75613,1833,4185,-2352,64992,0,2156,-2156,50890
Tue,6/27/2017,2291,4003,-1712,58490,0,14634,-14634,71048,6976,2835,4141,79754,2104,3343,-1239,63753,702,0,702,51592
Wed,6/28/2017,0,2932,-2932,55558,0,1201,-1201,69847,4318,5042,-724,79030,1473,1977,-504,63249,0,4524,-4524,47068
Thu,6/29/2017,2982,9041,-6059,49499,2220,1165,1055,70902,6704,3046,3658,82688,3012,5948,-2936,60313,2627,3072,-445,46623
Fri,6/30/2017,0,4329,-4329,45170,4114,3425,689,71591,3826,3811,15,82703,9249,6387,2862,63175,13060,6322,6738,53361
Sat,7/1/2017,3743,1626,2117,47287,2729,7653,-4924,66667,0,5198,-5198,77505,2117,5002,-2885,60290,3453,3995,-542,52819
Sun,7/2/2017,6962,1630,5332,52619,0,6521,-6521,60146,0,4179,-4179,73326,5374,6006,-632,59658,3040,1368,1672,54491
Mon,7/3/2017,5557,3400,2157,54776,0,0,0,60146,3814,4047,-233,73093,0,2969,-2969,56689,6023,7750,-1727,52764
Tue,7/4/2017,4824,0,4824,59600,1262,10108,-8846,51300,1434,0,1434,74527,610,4401,-3791,52898,1700,1273,427,53191
Wed,7/5/2017,3238,1746,1492,61092,7001,4777,2224,53524,5753,1910,3843,78370,9449,0,9449,62347,5707,3260,2447,55638
Thu,7/6/2017,0,5331,-5331,55761,5511,1836,3675,57199,15349,7155,8194,86564,0,1675,-1675,60672,5093,1790,3303,58941
Fri,7/7/2017,4097,1170,2927,58688,2527,5237,-2710,54489,3106,760,2346,88910,0,2104,-2104,58568,10445,4121,6324,65265
Sat,7/8/2017,3235,9974,-6739,51949,2658,2911,-253,54236,6519,2945,3574,92484,0,0,0,58568,2643,0,2643,67908
Sun,7/9/2017,2995,1755,1240,53189,0,0,0,54236,1855,1692,163,92647,9070,2303,6767,65335,6790,0,6790,74698
Mon,7/10/2017,1488,4427,-2939,50250,4447,2414,2033,56269,16565,0,16565,109212,2108,8569,-6461,58874,5524,0,5524,80222
Tue,7/11/2017,5609,0,5609,55859,0,0,0,56269,0,18983,-18983,90229,0,2161,-2161,56713,0,3398,-3398,76824
Wed,7/12/2017,0,4832,-4832,51027,2608,14643,-12035,44234,9772,0,9772,100001,5324,3038,2286,58999,8446,0,8446,85270
